COSMIC_SAMPLE_ID	SAMPLE_NAME	COSMIC_GENE_ID	GENE_SYMBOL	REGULATION	Z_SCORE	COSMIC_STUDY_ID
COSS905980	TK10	COSG669	C1orf174	normal	      -1.000	COSU3
COSS905946	MCF7	COSG669	C1orf174	normal	      -0.102	COSU3
COSS905981	U031	COSG669	C1orf174	normal	      -0.830	COSU3
COSS905962	SW620	COSG669	C1orf174	normal	       0.374	COSU3
COSS905940	K-562	COSG669	C1orf174	normal	       0.802	COSU3
COSS905968	IGROV-1	COSG669	C1orf174	normal	       0.210	COSU3
COSS905939	HT-29	COSG669	C1orf174	normal	      -0.646	COSU3
COSS905989	KM12	COSG669	C1orf174	normal	       0.897	COSU3
COSS905950	ACHN	COSG669	C1orf174	normal	      -0.850	COSU3
COSS905949	A549	COSG669	C1orf174	normal	      -1.095	COSU3
COSS905983	U251	COSG23022	ACOT7	normal	       0.186	COSU3
COSS905974	LOXIMVI	COSG23022	ACOT7	normal	       0.029	COSU3
COSS905991	OVCAR-8	COSG23022	ACOT7	normal	      -0.353	COSU3
COSS905946	MCF7	COSG53628	HES3	normal	       0.014	COSU3
COSS905977	UACC-257	COSG53628	HES3	normal	       0.173	COSU3
COSS905981	U031	COSG53628	HES3	normal	      -0.856	COSU3
COSS905965	SR	COSG53628	HES3	normal	       0.916	COSU3
COSS905939	HT-29	COSG53628	HES3	normal	       1.659	COSU3
COSS905948	A498	COSG53628	HES3	normal	       1.151	COSU3
COSS905961	COLO-205	COSG53628	HES3	normal	      -0.202	COSU3
COSS905991	OVCAR-8	COSG53628	HES3	normal	       1.055	COSU3
COSS905990	OVCAR-4	COSG13723	AKR7A2	normal	      -0.588	COSU3
COSS905974	LOXIMVI	COSG13723	AKR7A2	normal	      -0.952	COSU3
COSS905981	U031	COSG13723	AKR7A2	normal	       0.135	COSU3
COSS905940	K-562	COSG13723	AKR7A2	normal	       1.158	COSU3
COSS905965	SR	COSG13723	AKR7A2	normal	       0.552	COSU3
COSS905947	786-0	COSG13723	AKR7A2	over	       2.395	COSU3
COSS905957	Hs-578-T	COSG13723	AKR7A2	normal	       1.841	COSU3
COSS905950	ACHN	COSG13723	AKR7A2	normal	       0.005	COSU3
COSS905967	NCI-H322M	COSG32431	PIGV	normal	       0.799	COSU3
COSS905969	OVCAR-5	COSG32431	PIGV	normal	       0.243	COSU3
COSS905956	SK-MEL-5	COSG32431	PIGV	normal	      -0.057	COSU3
COSS905960	MDA-MB-231	COSG32431	PIGV	normal	       0.312	COSU3
COSS905955	SK-MEL-2	COSG52387	YTHDF2	normal	       1.017	COSU3
COSS905959	SK-OV-3	COSG52387	YTHDF2	normal	      -0.801	COSU3
COSS905944	NCI-H522	COSG52387	YTHDF2	under	      -2.432	COSU3
COSS905963	CAKI-1	COSG52387	YTHDF2	normal	      -0.197	COSU3
COSS905962	SW620	COSG52387	YTHDF2	normal	      -1.070	COSU3
COSS905969	OVCAR-5	COSG52387	YTHDF2	normal	       0.108	COSU3
COSS905982	SNB75	COSG52387	YTHDF2	normal	       0.102	COSU3
COSS905947	786-0	COSG19440	SPOCD1	normal	       0.795	COSU3
COSS905955	SK-MEL-2	COSG19440	SPOCD1	normal	      -1.030	COSU3
COSS905979	SN12C	COSG19440	SPOCD1	normal	      -0.246	COSU3
COSS905965	SR	COSG19440	SPOCD1	normal	      -0.724	COSU3
COSS905952	CCRF-CEM	COSG19440	SPOCD1	normal	       0.103	COSU3
COSS905982	SNB75	COSG19440	SPOCD1	over	       2.038	COSU3
COSS905942	NCI-H23	COSG19440	SPOCD1	normal	       0.593	COSU3
COSS905968	IGROV-1	COSG47189	EXO5	normal	       0.876	COSU3
COSS905935	DU-145	COSG47189	EXO5	normal	       0.645	COSU3
COSS905977	UACC-257	COSG47189	EXO5	normal	      -0.250	COSU3
COSS905986	SF268	COSG47189	EXO5	under	      -2.141	COSU3
COSS905939	HT-29	COSG47189	EXO5	normal	      -0.353	COSU3
COSS905975	M14	COSG28662	PTCH2	normal	      -0.631	COSU3
COSS905986	SF268	COSG28662	PTCH2	normal	      -0.456	COSU3
COSS905940	K-562	COSG28662	PTCH2	normal	      -1.959	COSU3
COSS905978	RXF393	COSG28662	PTCH2	normal	      -0.685	COSU3
COSS905937	HCT-15	COSG50442	CACHD1	normal	       0.315	COSU3
COSS905979	SN12C	COSG50442	CACHD1	normal	       0.643	COSU3
COSS905981	U031	COSG50442	CACHD1	normal	      -0.019	COSU3
COSS905939	HT-29	COSG50442	CACHD1	normal	      -1.220	COSU3
COSS905957	Hs-578-T	COSG50442	CACHD1	normal	      -1.079	COSU3
COSS905956	SK-MEL-5	COSG50442	CACHD1	normal	       0.069	COSU3
COSS905942	NCI-H23	COSG50442	CACHD1	normal	       1.926	COSU3
COSS905980	TK10	COSG33424	C8A	normal	      -1.176	COSU3
COSS905984	SF539	COSG33424	C8A	normal	       0.523	COSU3
COSS905946	MCF7	COSG33424	C8A	normal	      -0.661	COSU3
COSS905962	SW620	COSG33424	C8A	normal	      -0.244	COSU3
COSS905986	SF268	COSG33424	C8A	normal	       1.192	COSU3
COSS905968	IGROV-1	COSG33424	C8A	normal	       0.812	COSU3
COSS905984	SF539	COSG56087	C1orf141	normal	      -1.277	COSU3
COSS905985	SF295	COSG56087	C1orf141	normal	      -0.860	COSU3
COSS905972	HOP-62	COSG56087	C1orf141	normal	       1.506	COSU3
COSS905963	CAKI-1	COSG56087	C1orf141	normal	      -0.565	COSU3
COSS905934	PC-3	COSG56087	C1orf141	normal	       0.818	COSU3
COSS905986	SF268	COSG56087	C1orf141	normal	      -0.120	COSU3
COSS905967	NCI-H322M	COSG56087	C1orf141	normal	      -0.507	COSU3
COSS905945	T47D	COSG56087	C1orf141	normal	      -0.791	COSU3
COSS905952	CCRF-CEM	COSG56087	C1orf141	normal	       0.499	COSU3
COSS905958	MOLT-4	COSG40681	ANKRD13C	normal	      -0.636	COSU3
COSS905963	CAKI-1	COSG40681	ANKRD13C	normal	       0.243	COSU3
COSS905941	NCI-H226	COSG40681	ANKRD13C	normal	       0.673	COSU3
COSS905948	A498	COSG40681	ANKRD13C	normal	      -0.339	COSU3
COSS905973	HOP-92	COSG40681	ANKRD13C	normal	       0.995	COSU3
